feature,object,selected,excluded_by
cell_AngularSecondMoment_3_01_256,cell,True,
cell_Compactness,cell,True,
cell_Contrast_3_02_256,cell,True,
cell_Correlation_3_01_256,cell,True,
cell_DifferenceEntropy_3_02_256,cell,True,
cell_DifferenceVariance_3_02_256,cell,True,
cell_FormFactor,cell,True,
cell_Granularity_1,cell,True,
cell_Granularity_2,cell,True,
cell_Granularity_3,cell,True,
cell_Granularity_4,cell,True,
cell_Granularity_5,cell,True,
cell_HuMoment_1,cell,True,
cell_InfoMeas1_3_01_256,cell,True,
cell_InfoMeas2_3_01_256,cell,True,
cell_Intensity_IntegratedIntensityEdge,cell,True,
cell_Intensity_MADIntensity,cell,True,
cell_Intensity_MaxIntensityEdge,cell,True,
cell_Intensity_MeanIntensityEdge,cell,True,
cell_Intensity_MinIntensityEdge,cell,True,
cell_Intensity_StdIntensityEdge,cell,True,
cell_RadialDistribution_FracAtD_1of4,cell,True,
cell_RadialDistribution_FracAtD_3of4,cell,True,
cell_RadialDistribution_FracAtD_4of4,cell,True,
cell_RadialDistribution_MeanFrac_1of4,cell,True,
cell_RadialDistribution_MeanFrac_2of4,cell,True,
cell_RadialDistribution_MeanFrac_3of4,cell,True,
cell_RadialDistribution_MeanFrac_4of4,cell,True,
cell_RadialDistribution_RadialCV_1of4,cell,True,
cell_RadialDistribution_RadialCV_2of4,cell,True,
cell_RadialDistribution_RadialCV_3of4,cell,True,
cell_RadialDistribution_RadialCV_4of4,cell,True,
cell_RadialDistribution_ZernikeMagnitude_1_1,cell,True,
cell_RadialDistribution_ZernikeMagnitude_2_0,cell,True,
cell_RadialDistribution_ZernikeMagnitude_2_2,cell,True,
cell_RadialDistribution_ZernikeMagnitude_3_1,cell,True,
cell_RadialDistribution_ZernikeMagnitude_3_3,cell,True,
cell_RadialDistribution_ZernikeMagnitude_4_0,cell,True,
cell_RadialDistribution_ZernikeMagnitude_5_1,cell,True,
cell_RadialDistribution_ZernikeMagnitude_5_3,cell,True,
cell_RadialDistribution_ZernikeMagnitude_5_5,cell,True,
cell_RadialDistribution_ZernikeMagnitude_6_0,cell,True,
cell_RadialDistribution_ZernikeMagnitude_6_4,cell,True,
cell_RadialDistribution_ZernikeMagnitude_7_1,cell,True,
cell_RadialDistribution_ZernikeMagnitude_7_3,cell,True,
cell_RadialDistribution_ZernikeMagnitude_7_5,cell,True,
cell_RadialDistribution_ZernikeMagnitude_7_7,cell,True,
cell_RadialDistribution_ZernikeMagnitude_8_0,cell,True,
cell_RadialDistribution_ZernikeMagnitude_8_2,cell,True,
cell_RadialDistribution_ZernikeMagnitude_8_4,cell,True,
cell_RadialDistribution_ZernikeMagnitude_8_6,cell,True,
cell_RadialDistribution_ZernikeMagnitude_8_8,cell,True,
cell_RadialDistribution_ZernikeMagnitude_9_1,cell,True,
cell_RadialDistribution_ZernikeMagnitude_9_3,cell,True,
cell_RadialDistribution_ZernikeMagnitude_9_5,cell,True,
cell_RadialDistribution_ZernikeMagnitude_9_7,cell,True,
cell_RadialDistribution_ZernikeMagnitude_9_9,cell,True,
cell_Solidity,cell,True,
cell_Variance_3_01_256,cell,True,
cell_Zernike_1_1,cell,True,
cell_Zernike_2_0,cell,True,
cell_Zernike_3_1,cell,True,
cell_Zernike_3_3,cell,True,
cell_Zernike_4_0,cell,True,
cell_Zernike_4_2,cell,True,
cell_Zernike_5_1,cell,True,
cell_Zernike_5_3,cell,True,
cell_Zernike_5_5,cell,True,
cell_Zernike_6_0,cell,True,
cell_Zernike_6_2,cell,True,
cell_Zernike_7_1,cell,True,
cell_Zernike_7_3,cell,True,
cell_Zernike_7_7,cell,True,
cell_Zernike_8_0,cell,True,
cell_Zernike_8_2,cell,True,
cell_Zernike_8_4,cell,True,
cell_Zernike_8_8,cell,True,
cell_Zernike_9_1,cell,True,
cell_Zernike_9_3,cell,True,
cell_Zernike_9_5,cell,True,
cell_Zernike_9_9,cell,True,
cytoplasm_Compactness,cytoplasm,True,
cytoplasm_Eccentricity,cytoplasm,True,
