feature,source,selected,excluded_by
cell_AngularSecondMoment_3_mean_256,cp_measure,True,
cell_Compactness,cp_measure,True,
cell_Correlation_3_mean_256,cp_measure,True,
cell_DifferenceEntropy_3_mean_256,cp_measure,True,
cell_DifferenceVariance_3_mean_256,cp_measure,True,
cell_FormFactor,cp_measure,True,
cell_Granularity_2,cp_measure,True,
cell_Granularity_3,cp_measure,True,
cell_HuMoment_1,cp_measure,True,
cell_InertiaTensorEigenvalues_0,cp_measure,True,
cell_InfoMeas1_3_mean_256,cp_measure,True,
cell_InfoMeas2_3_mean_256,cp_measure,True,
cell_Intensity_IntegratedIntensityEdge,cp_measure,True,
cell_Intensity_LowerQuartileIntensity,cp_measure,True,
cell_Intensity_MADIntensity,cp_measure,True,
cell_Intensity_MassDisplacement,cp_measure,True,
cell_Intensity_MaxIntensityEdge,cp_measure,True,
cell_Intensity_MeanIntensityEdge,cp_measure,True,
cell_Intensity_MinIntensity,cp_measure,True,
cell_Intensity_StdIntensityEdge,cp_measure,True,
cell_RadialDistribution_FracAtD_1of4,cp_measure,True,
cell_RadialDistribution_FracAtD_3of4,cp_measure,True,
cell_RadialDistribution_FracAtD_4of4,cp_measure,True,
cell_RadialDistribution_MeanFrac_1of4,cp_measure,True,
cell_RadialDistribution_MeanFrac_2of4,cp_measure,True,
cell_RadialDistribution_MeanFrac_3of4,cp_measure,True,
cell_RadialDistribution_MeanFrac_4of4,cp_measure,True,
cell_RadialDistribution_RadialCV_1of4,cp_measure,True,
cell_RadialDistribution_RadialCV_2of4,cp_measure,True,
cell_RadialDistribution_RadialCV_3of4,cp_measure,True,
cell_RadialDistribution_RadialCV_4of4,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_1_1,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_2_0,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_3_1,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_3_3,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_4_0,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_4_2,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_5_1,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_5_3,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_5_5,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_6_0,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_6_4,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_7_1,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_7_3,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_7_5,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_7_7,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_8_0,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_8_2,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_8_4,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_8_6,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_8_8,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_9_1,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_9_3,cp_measure,True,
cell_RadialDistribution_ZernikeMagnitude_9_5,cp_measure,True,
