group,names,scores,logfoldchanges,pvals,pvals_adj
0,cell_RadialDistribution_FracAtD_1of4,21.117256,,5.521093349353252e-99,1.8771717387801058e-97
0,cell_DifferenceVariance_3_02_256,19.099674,,2.5406589296203147e-81,3.239340135265901e-80
0,cell_AngularSecondMoment_3_01_256,19.090189,,3.0466785169639094e-81,3.656014220356692e-80
0,cell_Zernike_2_0,16.69204,,1.497680865353997e-62,1.2221075861288615e-61
0,nucleoplasm_Zernike_0_0,16.50104,,3.6063423007089474e-61,2.829591651325482e-60
0,cell_Granularity_1,16.49705,,3.8526747548503805e-61,2.910909814775843e-60
0,cytoplasm_Zernike_2_0,16.111586,,2.115277568421064e-58,1.5411307998496323e-57
0,cell_FormFactor,16.054443,,5.321338631474089e-58,3.6185102694023807e-57
0,nucleus_Zernike_4_0,15.8727045,,9.792833641151036e-57,6.444316331596166e-56
0,nucleus_FormFactor,15.370248,,2.591749244082201e-53,1.5550495464493206e-52
0,cell_RadialDistribution_FracAtD_3of4,15.044261,,3.765140855134438e-51,2.0759154985065551e-50
0,cell_Zernike_1_1,14.882999,,4.250117709336811e-50,2.1675600317617738e-49
0,cytoplasm_Solidity,14.814866,,1.1742382025246393e-49,5.70344269797682e-49
0,nucleus_Solidity,14.122087,,2.7764586092662566e-45,1.2312990354137312e-44
0,cytoplasm_Zernike_5_1,13.599755,,4.0177786058219154e-42,1.707555907474314e-41
0,cell_Zernike_3_3,13.331362,,1.520964633782137e-40,6.332179291664407e-40
0,cytoplasm_Zernike_7_1,12.916462,,3.634736653103497e-38,1.4259351485252182e-37
0,cytoplasm_Zernike_4_0,12.6199875,,1.6384815336668835e-36,6.077276961237169e-36
0,cytoplasm_FormFactor,12.36123,,4.236235059980021e-35,1.416708118419548e-34
0,cytoplasm_Zernike_8_2,11.652717,,2.2225826948425437e-31,6.667748084527631e-31
0,cytoplasm_Zernike_3_1,11.596026,,4.316582642003812e-31,1.2762070419837358e-30
0,nucleoplasm_Zernike_4_0,11.281032,,1.628257260509002e-29,4.678372973856851e-29
0,cell_RadialDistribution_MeanFrac_1of4,11.180826,,5.061658770084965e-29,1.4341366515240734e-28
0,cytoplasm_Zernike_6_2,11.122404,,9.760544622737e-29,2.727604250737463e-28
0,cytoplasm_MaximumRadius_um,10.561112,,4.512832991554239e-26,1.2113393819435063e-25
0,cell_RadialDistribution_MeanFrac_2of4,10.519592,,7.017677301563656e-26,1.8592287915830986e-25
0,cytoplasm_Zernike_5_3,10.467269,,1.22115883815644e-25,3.1938000382553047e-25
0,nucleoli_Intensity_IntegratedIntensity,9.524842,,1.6529249587169013e-21,4.062610741906601e-21
0,nucleolus_to_nucleus_area_ratio,9.433446,,3.9683418093663755e-21,9.637401537032627e-21
0,cytoplasm_Zernike_6_0,9.130496,,6.81861317412548e-20,1.636467161790115e-19
0,cell_Zernike_5_5,9.023064,,1.8290165142146884e-19,4.28872837815858e-19
0,nucleoli_Intensity_IntegratedIntensityEdge,8.969234,,2.9858322792207077e-19,6.843930168101397e-19
0,cell_Zernike_7_7,8.526855,,1.5037949728184878e-17,3.3345018962496903e-17
0,nucleus_Zernike_6_0,8.134617,,4.13242178448511e-16,8.781396292030859e-16
0,cell_Zernike_9_9,8.109171,,5.09664485595761e-16,1.0502177278942955e-15
0,nucleus_Zernike_8_2,7.5826225,,3.3863886031357677e-14,6.642531490766314e-14
0,cell_Solidity,7.4147353,,1.218677467116074e-13,2.3677162218255153e-13
0,cytoplasm_Zernike_7_3,7.278694,,3.370664599500944e-13,6.486939417907477e-13
0,nucleoplasm_Zernike_8_2,7.1113343,,1.1492641473991257e-12,2.170832278420571e-12
0,cytoplasm_Zernike_9_1,6.547595,,5.847097502384183e-11,1.055582203970242e-10
0,cell_Zernike_5_3,6.4955726,,8.271811326149302e-11,1.454697853909015e-10
0,cell_Zernike_3_1,5.959539,,2.529509154532171e-09,4.26462700433523e-09
0,nucleoplasm_MaximumRadius_um,5.6608806,,1.505983137334472e-08,2.4190595276868685e-08
0,cytoplasm_Zernike_9_3,5.2182007,,1.8066964760781327e-07,2.8134815352667104e-07
