feature,cluster,cluster_size,representative,has_handpicked,source
hc_nucleus_area,178,14,hc_nucleus_area,True,handpicked
nucleus_Intensity_IntegratedIntensity,178,14,hc_nucleus_area,True,cp_measure
nucleus_Area,178,14,hc_nucleus_area,True,cp_measure
nucleus_ConvexArea,178,14,hc_nucleus_area,True,cp_measure
nucleus_EquivalentDiameter,178,14,hc_nucleus_area,True,cp_measure
nucleus_MinorAxisLength,178,14,hc_nucleus_area,True,cp_measure
nucleus_MaximumRadius,178,14,hc_nucleus_area,True,cp_measure
nucleus_MeanRadius,178,14,hc_nucleus_area,True,cp_measure
nucleus_MedianRadius,178,14,hc_nucleus_area,True,cp_measure
nucleus_FilledArea,178,14,hc_nucleus_area,True,cp_measure
nucleus_SpatialMoment_0_0,178,14,hc_nucleus_area,True,cp_measure
nucleus_CentralMoment_0_0,178,14,hc_nucleus_area,True,cp_measure
nucleus_InertiaTensorEigenvalues_1,178,14,hc_nucleus_area,True,cp_measure
nucleus_MinFeretDiameter,178,14,hc_nucleus_area,True,cp_measure
hc_cell_area,179,14,hc_cell_area,True,handpicked
cell_Intensity_IntegratedIntensity,179,14,hc_cell_area,True,cp_measure
cell_Area,179,14,hc_cell_area,True,cp_measure
cell_ConvexArea,179,14,hc_cell_area,True,cp_measure
cell_EquivalentDiameter,179,14,hc_cell_area,True,cp_measure
cell_MinorAxisLength,179,14,hc_cell_area,True,cp_measure
cell_MaximumRadius,179,14,hc_cell_area,True,cp_measure
cell_MeanRadius,179,14,hc_cell_area,True,cp_measure
cell_MedianRadius,179,14,hc_cell_area,True,cp_measure
cell_FilledArea,179,14,hc_cell_area,True,cp_measure
cell_SpatialMoment_0_0,179,14,hc_cell_area,True,cp_measure
cell_CentralMoment_0_0,179,14,hc_cell_area,True,cp_measure
cell_InertiaTensorEigenvalues_1,179,14,hc_cell_area,True,cp_measure
cell_MinFeretDiameter,179,14,hc_cell_area,True,cp_measure
nucleus_RadialDistribution_ZernikeMagnitude_0_0,201,7,nucleus_Intensity_MeanIntensity,False,cp_measure
nucleus_Intensity_MeanIntensity,201,7,nucleus_Intensity_MeanIntensity,False,cp_measure
nucleus_Intensity_LowerQuartileIntensity,201,7,nucleus_Intensity_MeanIntensity,False,cp_measure
nucleus_Intensity_MedianIntensity,201,7,nucleus_Intensity_MeanIntensity,False,cp_measure
nucleus_Intensity_UpperQuartileIntensity,201,7,nucleus_Intensity_MeanIntensity,False,cp_measure
nucleus_Intensity_MeanIntensityEdge,201,7,nucleus_Intensity_MeanIntensity,False,cp_measure
nucleus_SumAverage_3_mean_256,201,7,nucleus_Intensity_MeanIntensity,False,cp_measure
hc_cell_RI_mean,206,7,hc_cell_RI_mean,True,handpicked
cell_RadialDistribution_ZernikeMagnitude_0_0,206,7,hc_cell_RI_mean,True,cp_measure
cell_Intensity_MeanIntensity,206,7,hc_cell_RI_mean,True,cp_measure
cell_Intensity_LowerQuartileIntensity,206,7,hc_cell_RI_mean,True,cp_measure
cell_Intensity_MedianIntensity,206,7,hc_cell_RI_mean,True,cp_measure
cell_Intensity_UpperQuartileIntensity,206,7,hc_cell_RI_mean,True,cp_measure
cell_SumAverage_3_mean_256,206,7,hc_cell_RI_mean,True,cp_measure
cell_lipid_Correlation_Pearson,186,6,cell_lipid_Correlation_Manders_1,False,cp_measure
cell_lipid_Correlation_Slope,186,6,cell_lipid_Correlation_Manders_1,False,cp_measure
cell_lipid_Correlation_Manders_1,186,6,cell_lipid_Correlation_Manders_1,False,cp_measure
cell_lipid_Correlation_RWC_1,186,6,cell_lipid_Correlation_Manders_1,False,cp_measure
nucleoli_lipid_Correlation_Slope,186,6,cell_lipid_Correlation_Manders_1,False,cp_measure
cell_Contrast_3_mean_256,186,6,cell_lipid_Correlation_Manders_1,False,cp_measure
nucleus_HuMoment_2,19,5,nucleus_HuMoment_4,False,cp_measure
nucleus_HuMoment_3,19,5,nucleus_HuMoment_4,False,cp_measure
nucleus_HuMoment_4,19,5,nucleus_HuMoment_4,False,cp_measure
nucleus_HuMoment_5,19,5,nucleus_HuMoment_4,False,cp_measure
nucleus_HuMoment_6,19,5,nucleus_HuMoment_4,False,cp_measure
hc_nucleolus_to_nucleus_area_ratio,152,5,hc_nucleolus_to_nucleus_area_ratio,True,handpicked
nucleus_nucleoli_Correlation_Pearson,152,5,hc_nucleolus_to_nucleus_area_ratio,True,cp_measure
nucleus_nucleoli_Correlation_Slope,152,5,hc_nucleolus_to_nucleus_area_ratio,True,cp_measure
nucleus_nucleoli_Correlation_Manders_1,152,5,hc_nucleolus_to_nucleus_area_ratio,True,cp_measure
nucleus_nucleoli_Correlation_RWC_1,152,5,hc_nucleolus_to_nucleus_area_ratio,True,cp_measure
cell_Perimeter,174,5,cell_MaxFeretDiameter,False,cp_measure
cell_MajorAxisLength,174,5,cell_MaxFeretDiameter,False,cp_measure
cell_InertiaTensorEigenvalues_0,174,5,cell_MaxFeretDiameter,False,cp_measure
cell_PerimeterCrofton,174,5,cell_MaxFeretDiameter,False,cp_measure
cell_MaxFeretDiameter,174,5,cell_MaxFeretDiameter,False,cp_measure
nucleus_Perimeter,176,5,nucleus_MajorAxisLength,False,cp_measure
nucleus_MajorAxisLength,176,5,nucleus_MajorAxisLength,False,cp_measure
nucleus_InertiaTensorEigenvalues_0,176,5,nucleus_MajorAxisLength,False,cp_measure
nucleus_PerimeterCrofton,176,5,nucleus_MajorAxisLength,False,cp_measure
nucleus_MaxFeretDiameter,176,5,nucleus_MajorAxisLength,False,cp_measure
hc_nucleus_RI_std,203,4,hc_nucleus_RI_std,True,handpicked
nucleus_Intensity_StdIntensity,203,4,hc_nucleus_RI_std,True,cp_measure
nucleus_Variance_3_mean_256,203,4,hc_nucleus_RI_std,True,cp_measure
nucleus_SumVariance_3_mean_256,203,4,hc_nucleus_RI_std,True,cp_measure
nucleus_Intensity_MADIntensity,205,4,nucleus_Entropy_3_mean_256,False,cp_measure
nucleus_AngularSecondMoment_3_mean_256,205,4,nucleus_Entropy_3_mean_256,False,cp_measure
nucleus_SumEntropy_3_mean_256,205,4,nucleus_Entropy_3_mean_256,False,cp_measure
nucleus_Entropy_3_mean_256,205,4,nucleus_Entropy_3_mean_256,False,cp_measure
cell_HuMoment_2,93,3,cell_HuMoment_3,False,cp_measure
cell_HuMoment_3,93,3,cell_HuMoment_3,False,cp_measure
cell_HuMoment_5,93,3,cell_HuMoment_3,False,cp_measure
cell_RadialDistribution_FracAtD_1of4,130,3,cell_RadialDistribution_FracAtD_2of4,False,cp_measure
cell_RadialDistribution_FracAtD_2of4,130,3,cell_RadialDistribution_FracAtD_2of4,False,cp_measure
