,cluster
cell_RadialDistribution_FracAtD_1of4,196
cell_RadialDistribution_MeanFrac_1of4,166
cell_RadialDistribution_RadialCV_1of4,276
cell_RadialDistribution_FracAtD_2of4,196
cell_RadialDistribution_MeanFrac_2of4,164
cell_RadialDistribution_RadialCV_2of4,273
cell_RadialDistribution_FracAtD_3of4,197
cell_RadialDistribution_MeanFrac_3of4,167
cell_RadialDistribution_RadialCV_3of4,274
cell_RadialDistribution_FracAtD_4of4,196
cell_RadialDistribution_MeanFrac_4of4,165
cell_RadialDistribution_RadialCV_4of4,275
cell_RadialDistribution_ZernikeMagnitude_0_0,262
cell_RadialDistribution_ZernikeMagnitude_1_1,159
cell_RadialDistribution_ZernikePhase_1_1,18
cell_RadialDistribution_ZernikeMagnitude_2_0,270
cell_RadialDistribution_ZernikeMagnitude_2_2,181
cell_RadialDistribution_ZernikePhase_2_2,27
cell_RadialDistribution_ZernikeMagnitude_3_1,160
cell_RadialDistribution_ZernikePhase_3_1,19
cell_RadialDistribution_ZernikeMagnitude_3_3,168
cell_RadialDistribution_ZernikePhase_3_3,6
cell_RadialDistribution_ZernikeMagnitude_4_0,185
cell_RadialDistribution_ZernikePhase_4_0,151
cell_RadialDistribution_ZernikeMagnitude_4_2,181
cell_RadialDistribution_ZernikePhase_4_2,29
cell_RadialDistribution_ZernikeMagnitude_4_4,182
cell_RadialDistribution_ZernikePhase_4_4,304
cell_RadialDistribution_ZernikeMagnitude_5_1,180
cell_RadialDistribution_ZernikePhase_5_1,20
cell_RadialDistribution_ZernikeMagnitude_5_3,169
cell_RadialDistribution_ZernikePhase_5_3,7
cell_RadialDistribution_ZernikeMagnitude_5_5,174
cell_RadialDistribution_ZernikePhase_5_5,3
cell_RadialDistribution_ZernikeMagnitude_6_0,186
cell_RadialDistribution_ZernikePhase_6_0,147
cell_RadialDistribution_ZernikeMagnitude_6_2,187
cell_RadialDistribution_ZernikePhase_6_2,30
cell_RadialDistribution_ZernikeMagnitude_6_4,182
cell_RadialDistribution_ZernikePhase_6_4,305
cell_RadialDistribution_ZernikeMagnitude_6_6,183
cell_RadialDistribution_ZernikePhase_6_6,301
cell_RadialDistribution_ZernikeMagnitude_7_1,178
cell_RadialDistribution_ZernikePhase_7_1,282
cell_RadialDistribution_ZernikeMagnitude_7_3,175
cell_RadialDistribution_ZernikePhase_7_3,8
cell_RadialDistribution_ZernikeMagnitude_7_5,172
cell_RadialDistribution_ZernikePhase_7_5,4
cell_RadialDistribution_ZernikeMagnitude_7_7,170
cell_RadialDistribution_ZernikePhase_7_7,1
cell_RadialDistribution_ZernikeMagnitude_8_0,189
cell_RadialDistribution_ZernikePhase_8_0,148
cell_RadialDistribution_ZernikeMagnitude_8_2,187
cell_RadialDistribution_ZernikePhase_8_2,31
cell_RadialDistribution_ZernikeMagnitude_8_4,188
cell_RadialDistribution_ZernikePhase_8_4,306
cell_RadialDistribution_ZernikeMagnitude_8_6,183
cell_RadialDistribution_ZernikePhase_8_6,302
cell_RadialDistribution_ZernikeMagnitude_8_8,184
