,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
cell_RadialDistribution_FracAtD_1of4,-0.023104103,0.035353646,-0.14073363,0.041297033,-0.013454865,0.005605933,-0.004313441,-0.0010968901,0.022959292,-0.017273204,0.026406411,-0.037183404,-0.01715832,0.0423236,0.015916547
cell_RadialDistribution_MeanFrac_1of4,-0.012763669,0.02137577,-0.050520487,0.0714429,0.018637396,0.047589563,-0.008749058,-0.031741314,0.017773068,-0.04743974,0.014017757,-0.08495554,-0.032577172,0.06344887,-0.01621202
cell_RadialDistribution_RadialCV_1of4,0.008611805,0.01473505,0.00980504,0.024155742,0.022988271,0.048457738,0.055416428,0.0063991905,0.0014929624,0.0056436127,-0.00065427436,0.05066251,0.0076536913,-0.033563808,0.008723951
cell_RadialDistribution_FracAtD_2of4,-0.020378688,0.03549137,-0.15207113,0.033113558,-0.01196627,0.005665746,-0.015110606,0.00062462897,0.020295527,-0.020592315,0.030259226,-0.04207585,-0.017587725,0.04143607,0.0137825245
cell_RadialDistribution_MeanFrac_2of4,-0.0087188855,0.023938853,-0.050632015,0.063845165,0.025730755,0.049597718,-0.023782503,-0.045135994,0.020298224,-0.0575108,0.021637935,-0.11303299,-0.031782296,0.07152754,-0.013464914
cell_RadialDistribution_RadialCV_2of4,0.010247045,0.021995993,0.008533337,0.0561831,0.0027154463,0.053957954,0.0485931,-0.045129538,-0.021433122,0.019793728,-0.026537344,0.08762511,0.01795746,-0.051712234,0.0031068223
cell_RadialDistribution_FracAtD_3of4,-0.0038183827,0.027025683,-0.15643436,0.0051440895,-0.010445153,0.0026168365,-0.04189145,0.014077468,0.008392415,-0.017984137,0.03357484,-0.033362743,-0.015754143,0.02289085,-0.008881891
cell_RadialDistribution_MeanFrac_3of4,0.027263636,0.007946751,0.02209575,0.00054422213,0.04265338,0.057512004,-0.05181135,-0.0455384,0.01812536,-0.03900549,0.019839767,-0.09164016,-0.019316986,0.059941664,-0.02738045
cell_RadialDistribution_RadialCV_3of4,0.005794418,0.026874436,-0.012528974,0.076824784,0.0039785197,0.061111562,0.032857683,-0.0744509,-0.033098515,0.026076425,-0.038724147,0.08339416,0.024250533,-0.061883148,0.018332424
cell_RadialDistribution_FracAtD_4of4,0.013981273,-0.033635262,0.16249152,-0.022741275,0.01221622,-0.0045315684,0.02766791,-0.007013467,-0.016167585,0.02017666,-0.033301998,0.039840404,0.017773787,-0.035173185,-0.0038759625
